Date,Timestamp,Open,High,Low,Close,Volume
20230611,00:00:00,25818.2,26180,25613.2,25895.8,1.12217763799561
20230612,00:00:00,25895.8,26071.2,25594.2,25871.4,1.8349400639072
20230613,00:00:00,25871.6,26397.3,25688.4,25900.9,1.8383030646919
20230614,00:00:00,25904.7,26053.9,24795.2,25095.3,1.13568393937316
20230615,00:00:00,25095.3,25717.1,24766.6,25565.1,2.16460077473343
20230616,00:00:00,25562.6,26474.7,25151,26264.5,2.06854057251161
20230617,00:00:00,26265,26718.1,26100.9,26482.2,0.661939233384424
20230618,00:00:00,26482.6,26659.8,26223.8,26311.4,0.861491029781973
20230619,00:00:00,26306.2,27031,26230.4,26812.7,1.67176325894842
20230620,00:00:00,26816,28373.2,26621.4,28280.4,0.94915982510998
20230621,00:00:00,28280.4,30756.5,28242.2,29964.8,2.24394057216449
20230622,00:00:00,29963.1,30469.6,29546.5,29865.6,1.66279655581986
20230623,00:00:00,29865.6,31389.8,29781.8,30646.9,1.69953819209005
20230624,00:00:00,30648.1,30750.8,30205.2,30512.8,0.272530009616275
20230625,00:00:00,30512.8,31011.5,30261.1,30445,0.139072504217495
20230626,00:00:00,30446.4,30629.6,29911.7,30237.3,0.267632006362192
20230627,00:00:00,30237.8,30976.8,30201,30665.3,0.242071907244593
20230628,00:00:00,30666.6,30682.8,29844.2,30053.2,0.220882006768193
20230629,00:00:00,30054.8,30806.7,30018.6,30420.5,0.178495005653531
20230630,00:00:00,30420.5,31254.6,29430.2,30406.3,0.698269623841583
20230701,00:00:00,30407.1,30629.2,30257.4,30557.1,0.0350895010818135
20230702,00:00:00,30557.1,30747.7,30161.4,30586.1,0.318199220195556
20230703,00:00:00,30589.3,31355.8,30538.7,31128,1.67856795839043
20230704,00:00:00,31128,31296,30598.5,30741.5,1.64543535706201
20230705,00:00:00,30741.5,30847.7,30174.1,30474.5,0.270773708196316
20230706,00:00:00,30474.5,31504.5,29826.7,29873.3,0.876499529026916
20230707,00:00:00,29874.3,30418.9,29688.6,30286.9,1.30980054420556
20230708,00:00:00,30288.1,30324.5,29983.8,30260.3,0.215685007628963
20230709,00:00:00,30260.4,30407.2,30032,30135.4,0.75345002601216
20230710,00:00:00,30138.9,31012.3,29924.4,30383.3,1.7595000607912
20230711,00:00:00,30380.8,30779.1,30282.5,30592.4,1.48909895216512
20230712,00:00:00,30592.6,30943,30181.8,30361.9,1.42016004899733
20230713,00:00:00,30355,31793.9,30233.3,31455.7,1.66098005394576
20230714,00:00:00,31455.7,31603,29901,30268.8,0.363938511219487
20230715,00:00:00,30268.8,30351.2,30192.5,30264,0.0272690005322147
20230716,00:00:00,30267,30419.1,30048.7,30217.3,0.0781395023547589
20230717,00:00:00,30217.3,30308.6,29643.4,30112.6,0.258835507461356
20230718,00:00:00,30114.3,30213.5,29498.1,29827.8,0.447647394502596
20230719,00:00:00,29829.9,30161.2,29742.8,29880.4,1.4413770804475
20230720,00:00:00,29880.6,30384.1,29543.7,29775.8,1.46627805141316
20230721,00:00:00,29775.4,30029.4,29695.8,29843.2,0.690270024096662
20230722,00:00:00,29844.7,29939.1,29614.4,29760.7,0.016807000503718
20230723,00:00:00,29760.7,30319.8,29717.5,30056.5,0.0526045013780845
20230724,00:00:00,30056.5,30068.9,28840.7,29152.7,0.185241104593828
20230725,00:00:00,29152.7,29331.4,29027.8,29190.9,0.0284305006501313
20230726,00:00:00,29190.9,29646.3,29082.6,29318,0.0656445012645577
20230727,00:00:00,29318,29531.6,29062.8,29190.5,0.0368820007466866
20230728,00:00:00,29190.5,29497.8,29090.7,29253.5,0.034697500906816
20230729,00:00:00,29253.5,29348.5,29194.4,29230.4,0.00229750005865981
20230730,00:00:00,29285.6,29382,29011.9,29242.7,0.0267480008452594
20230731,00:00:00,29243.3,29489.6,29084.7,29200.2,0.0458260011315588
20230801,00:00:00,29200.2,29701.3,28549.3,29669.7,0.25655750657171
20230802,00:00:00,29670.7,30002.2,28892,29146.5,1.13752813407243
20230803,00:00:00,29146.5,29393,28927.7,29152.7,0.257566077404057
20230804,00:00:00,29149.9,29289.2,28775.8,29011.9,1.43457344396613
20230805,00:00:00,29012.4,29049.1,28898.5,28982,0.139659002414191
20230806,00:00:00,28982.2,29151.5,28899.4,29046.9,0.176747004718891
20230807,00:00:00,29046.1,29223.2,28645.6,29172.2,0.777165022219378
20230808,00:00:00,29174,30178.2,29088.2,29730.6,1.43032404489668
20230809,00:00:00,29730.8,30091.8,29332.5,29539.3,1.30614604477068
20230810,00:00:00,29537.9,29691.9,29291.2,29401.9,1.03055003599002
20230811,00:00:00,29393.9,29517.2,29200.5,29335.3,0.46239801498723
20230812,00:00:00,29335.6,29432.3,29284.8,29388.7,0.148338004012658
20230813,00:00:00,29380.3,29423.2,29229.5,29261.6,0.21009100691299
20230814,00:00:00,29246.8,29623.3,29061,29372.7,0.510328013650451
20230815,00:00:00,29372,29415.2,29038.4,29132.2,0.196383002188668
20230816,00:00:00,29131.7,29186.2,28659.1,28662.8,0.497842006086557
20230817,00:00:00,28663.9,28708.7,25357.2,26590,0.608691135100757
20230818,00:00:00,26589.2,26785.1,25622.1,25986.3,0.25818255198281
20230819,00:00:00,25986.6,26231.4,25755.3,26062.1,0.0558955017831408
20230820,00:00:00,26062.1,26258.5,25948.8,26154.4,0.0413765013286707
20230821,00:00:00,26154.4,26210.5,25795.8,26089.2,0.0131989999895268
20230822,00:00:00,26089.6,26105.5,25339,26019.4,0.0188464999560551
20230823,00:00:00,26020.4,26777.2,25780.8,26392.5,0.0753029000014749
